nfhs_state_raw,nfhs_district_raw,nfhs_state_norm,canonical_state_norm,nfhs_district_norm,candidate_district_norm,score,rank
Andaman & Nicobar Islands,South Andaman ,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,SOUTH ANDAMANS,0.963,1
Andaman & Nicobar Islands,South Andaman ,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,NORTH AND MIDDLE ANDAMAN,0.595,2
Andhra Pradesh,Visakhapatnam ,ANDHRA PRADESH,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATANAM,0.963,1
Assam,Kamrup Metropolitan ,ASSAM,ASSAM,KAMRUP METROPOLITAN,KAMRUP METRO,0.774,1
Assam,Morigaon ,ASSAM,ASSAM,MORIGAON,MARIGAON,0.875,1
Assam,Morigaon ,ASSAM,ASSAM,MORIGAON,BONGAIGAON,0.667,2
Assam,Morigaon ,ASSAM,ASSAM,MORIGAON,KARIMGANJ,0.588,3
Bihar,Purba Champaran ,BIHAR,BIHAR,PURBA CHAMPARAN,PURBI CHAMPARAN,0.933,1
Bihar,Purba Champaran ,BIHAR,BIHAR,PURBA CHAMPARAN,PASHCHIM CHAMPARAN,0.727,2
Chhattisgarh,Kabeerdham ,CHHATTISGARH,CHHATTISGARH,KABEERDHAM,KABIRDHAM,0.842,1
Chhattisgarh,Kabeerdham ,CHHATTISGARH,CHHATTISGARH,KABEERDHAM,BEMETARA,0.556,2
Chhattisgarh,Kodagaon ,CHHATTISGARH,CHHATTISGARH,KODAGAON,KONDAGAON,0.941,1
Chhattisgarh,Koriya ,CHHATTISGARH,CHHATTISGARH,KORIYA,KORBA,0.727,1
Chhattisgarh,Koriya ,CHHATTISGARH,CHHATTISGARH,KORIYA,KOREA,0.727,2
Dadra and Nagar Haveli & Daman and Diu,Dadra & Nagar Haveli ,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,1.0,1
Dadra and Nagar Haveli & Daman and Diu,Daman ,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,DAMAN,1.0,1
Dadra and Nagar Haveli & Daman and Diu,Diu ,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,DIU,1.0,1
Gujarat,Aravali ,GUJARAT,GUJARAT,ARAVALI,ARVALLI,0.857,1
Gujarat,Aravali ,GUJARAT,GUJARAT,ARAVALI,AMRELI,0.615,2
Gujarat,Aravali ,GUJARAT,GUJARAT,ARAVALI,NARMADA,0.571,3
Gujarat,Chhota Udaipur ,GUJARAT,GUJARAT,CHHOTA UDAIPUR,CHHOTAUDEPUR,0.846,1
Gujarat,The Dangs ,GUJARAT,GUJARAT,THE DANGS,DANG,0.615,1
Gujarat,The Dangs ,GUJARAT,GUJARAT,THE DANGS,KHEDA,0.571,2
Haryana,Charkhi Dadri ,HARYANA,HARYANA,CHARKHI DADRI,CHARKI DADRI,0.96,1
Haryana,Gurgaon ,HARYANA,HARYANA,GURGAON,GURUGRAM,0.667,1
Jammu & Kashmir,Badgam ,JAMMU AND KASHMIR,JAMMU AND KASHMIR,BADGAM,BUDGAM,0.833,1
Jammu & Kashmir,Bandipore ,JAMMU AND KASHMIR,JAMMU AND KASHMIR,BANDIPORE,BANDIPORA,0.889,1
Jammu & Kashmir,Baramula ,JAMMU AND KASHMIR,JAMMU AND KASHMIR,BARAMULA,BARAMULLA,0.941,1
Jammu & Kashmir,Baramula ,JAMMU AND KASHMIR,JAMMU AND KASHMIR,BARAMULA,RAMBAN,0.571,2
Jammu & Kashmir,Punch ,JAMMU AND KASHMIR,JAMMU AND KASHMIR,PUNCH,POONCH,0.727,1
Jammu & Kashmir,Shupiyan ,JAMMU AND KASHMIR,JAMMU AND KASHMIR,SHUPIYAN,SHOPIAN,0.8,1
Jharkhand,Kodarma ,JHARKHAND,JHARKHAND,KODARMA,KODERMA,0.857,1
Jharkhand,Pashchimi Singhbhum ,JHARKHAND,JHARKHAND,PASHCHIMI SINGHBHUM,EAST SINGHBUM,0.688,1
Jharkhand,Pashchimi Singhbhum ,JHARKHAND,JHARKHAND,PASHCHIMI SINGHBHUM,WEST SINGHBHUM,0.667,2
Jharkhand,Purbi Singhbhum ,JHARKHAND,JHARKHAND,PURBI SINGHBHUM,WEST SINGHBHUM,0.69,1
Jharkhand,Purbi Singhbhum ,JHARKHAND,JHARKHAND,PURBI SINGHBHUM,EAST SINGHBUM,0.643,2
Jharkhand,Sahibganj ,JHARKHAND,JHARKHAND,SAHIBGANJ,SAHEBGANJ,0.889,1
Karnataka,Bangalore ,KARNATAKA,KARNATAKA,BANGALORE,BAGALKOT,0.706,1
Karnataka,Bangalore ,KARNATAKA,KARNATAKA,BANGALORE,DAVANGERE,0.556,2
Karnataka,Bangalore Rural ,KARNATAKA,KARNATAKA,BANGALORE RURAL,BENGALURU RURAL,0.8,1
Karnataka,Bangalore Rural ,KARNATAKA,KARNATAKA,BANGALORE RURAL,BENGALURU URBAN,0.6,2
Karnataka,Belgaum ,KARNATAKA,KARNATAKA,BELGAUM,BELAGAVI,0.667,1
Karnataka,Bellary ,KARNATAKA,KARNATAKA,BELLARY,BALLARI,0.714,1
Karnataka,Bijapur ,KARNATAKA,KARNATAKA,BIJAPUR,VIJAYAPURA,0.706,1
Karnataka,Bijapur ,KARNATAKA,KARNATAKA,BIJAPUR,BIDAR,0.667,2
Karnataka,Chamarajanagar ,KARNATAKA,KARNATAKA,CHAMARAJANAGAR,CHAMARAJANAGARA,0.966,1
Karnataka,Chamarajanagar ,KARNATAKA,KARNATAKA,CHAMARAJANAGAR,RAMANAGARA,0.667,2
Karnataka,Chamarajanagar ,KARNATAKA,KARNATAKA,CHAMARAJANAGAR,VIJAYNAGAR,0.583,3
Karnataka,Chikmagalur ,KARNATAKA,KARNATAKA,CHIKMAGALUR,CHIKKAMAGALURU,0.88,1
Karnataka,Chikmagalur ,KARNATAKA,KARNATAKA,CHIKMAGALUR,CHIKKABALLAPURA,0.692,2
Karnataka,Davanagere ,KARNATAKA,KARNATAKA,DAVANAGERE,DAVANGERE,0.947,1
Karnataka,Davanagere ,KARNATAKA,KARNATAKA,DAVANAGERE,RAMANAGARA,0.6,2
Karnataka,Mysore ,KARNATAKA,KARNATAKA,MYSORE,MYSURU,0.667,1
Karnataka,Shimoga ,KARNATAKA,KARNATAKA,SHIMOGA,SHIVAMOGGA,0.824,1
Karnataka,Tumkur ,KARNATAKA,KARNATAKA,TUMKUR,TUMAKURU,0.857,1
Ladakh,Leh(Ladakh) ,LADAKH,LADAKH,LEH(LADAKH),LEH LADAKH,0.857,1
 Lakshadweep ,Lakshadweep ,LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP DISTRICT,0.71,1
Madhya Pradesh,Khandwa (East Nimar) ,MADHYA PRADESH,MADHYA PRADESH,KHANDWA (EAST NIMAR),EAST NIMAR,0.667,1
Madhya Pradesh,Khargone (West Nimar) ,MADHYA PRADESH,MADHYA PRADESH,KHARGONE (WEST NIMAR),EAST NIMAR,0.581,1
Madhya Pradesh,Khargone (West Nimar) ,MADHYA PRADESH,MADHYA PRADESH,KHARGONE (WEST NIMAR),KHARGONE,0.552,2
Madhya Pradesh,Narsimhapur ,MADHYA PRADESH,MADHYA PRADESH,NARSIMHAPUR,NARSINGHPUR,0.818,1
Madhya Pradesh,Narsimhapur ,MADHYA PRADESH,MADHYA PRADESH,NARSIMHAPUR,ALIRAJPUR,0.6,2
Madhya Pradesh,Narsimhapur ,MADHYA PRADESH,MADHYA PRADESH,NARSIMHAPUR,BURHANPUR,0.6,3
Maharastra,Ahmadnagar ,MAHARASTRA,MAHARASHTRA,AHMADNAGAR,AHMEDNAGAR,0.9,1
Maharastra,Akola ,MAHARASTRA,MAHARASHTRA,AKOLA,AKOLA,1.0,1
Maharastra,Akola ,MAHARASTRA,MAHARASHTRA,AKOLA,KOLHAPUR,0.615,2
Maharastra,Akola ,MAHARASTRA,MAHARASHTRA,AKOLA,JALNA,0.6,3
Maharastra,Amravati ,MAHARASTRA,MAHARASHTRA,AMRAVATI,AMRAVATI,1.0,1
Maharastra,Aurangabad ,MAHARASTRA,MAHARASHTRA,AURANGABAD,AURANGABAD,1.0,1
Maharastra,Aurangabad ,MAHARASTRA,MAHARASHTRA,AURANGABAD,OSMANABAD,0.632,2
Maharastra,Aurangabad ,MAHARASTRA,MAHARASHTRA,AURANGABAD,RAIGAD,0.625,3
Maharastra,Bhandara ,MAHARASTRA,MAHARASHTRA,BHANDARA,BHANDARA,1.0,1
Maharastra,Bhandara ,MAHARASTRA,MAHARASHTRA,BHANDARA,CHANDRAPUR,0.667,2
Maharastra,Bhandara ,MAHARASTRA,MAHARASHTRA,BHANDARA,BULDHANA,0.625,3
Maharastra,Bid ,MAHARASTRA,MAHARASHTRA,BID,BEED,0.571,1
Maharastra,Buldana ,MAHARASTRA,MAHARASHTRA,BULDANA,BULDHANA,0.933,1
Maharastra,Chandrapur ,MAHARASTRA,MAHARASHTRA,CHANDRAPUR,CHANDRAPUR,1.0,1
