nfhs_state_raw,nfhs_district_raw,canonical_state_norm,canonical_district_norm,score,source,notes
Andaman & Nicobar Islands,South Andaman ,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,0.963,auto:difflib>=0.90,
Andhra Pradesh,Visakhapatnam ,ANDHRA PRADESH,VISAKHAPATANAM,0.963,auto:difflib>=0.90,
Bihar,Purba Champaran ,BIHAR,PURBI CHAMPARAN,0.933,auto:difflib>=0.90,
Chhattisgarh,Kodagaon ,CHHATTISGARH,KONDAGAON,0.941,auto:difflib>=0.90,
Dadra and Nagar Haveli & Daman and Diu,Dadra & Nagar Haveli ,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,1.0,auto:difflib>=0.90,
Dadra and Nagar Haveli & Daman and Diu,Daman ,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,1.0,auto:difflib>=0.90,
Dadra and Nagar Haveli & Daman and Diu,Diu ,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,1.0,auto:difflib>=0.90,
Haryana,Charkhi Dadri ,HARYANA,CHARKI DADRI,0.96,auto:difflib>=0.90,
Jammu & Kashmir,Baramula ,JAMMU AND KASHMIR,BARAMULLA,0.941,auto:difflib>=0.90,
Karnataka,Chamarajanagar ,KARNATAKA,CHAMARAJANAGARA,0.966,auto:difflib>=0.90,
Karnataka,Davanagere ,KARNATAKA,DAVANGERE,0.947,auto:difflib>=0.90,
Maharastra,Ahmadnagar ,MAHARASHTRA,AHMEDNAGAR,0.9,auto:difflib>=0.90,
Maharastra,Akola ,MAHARASHTRA,AKOLA,1.0,auto:difflib>=0.90,
Maharastra,Amravati ,MAHARASHTRA,AMRAVATI,1.0,auto:difflib>=0.90,
Maharastra,Aurangabad ,MAHARASHTRA,AURANGABAD,1.0,auto:difflib>=0.90,
Maharastra,Bhandara ,MAHARASHTRA,BHANDARA,1.0,auto:difflib>=0.90,
Maharastra,Buldana ,MAHARASHTRA,BULDHANA,0.933,auto:difflib>=0.90,
Maharastra,Chandrapur ,MAHARASHTRA,CHANDRAPUR,1.0,auto:difflib>=0.90,
Maharastra,Dhule ,MAHARASHTRA,DHULE,1.0,auto:difflib>=0.90,
Maharastra,Gadchiroli ,MAHARASHTRA,GADCHIROLI,1.0,auto:difflib>=0.90,
Maharastra,Gondiya ,MAHARASHTRA,GONDIA,0.923,auto:difflib>=0.90,
Maharastra,Hingoli ,MAHARASHTRA,HINGOLI,1.0,auto:difflib>=0.90,
Maharastra,Jalgaon ,MAHARASHTRA,JALGAON,1.0,auto:difflib>=0.90,
Maharastra,Jalna ,MAHARASHTRA,JALNA,1.0,auto:difflib>=0.90,
